Time	LH_Ext_HC	LH_FLX_HC	
0.1238	-0.046087	-0.06047098	
0.124	-0.04607281	-0.0604707	
0.1242	-0.04605861	-0.0604705	
0.1244	-0.04604437	-0.06047039	
0.1246	-0.04603012	-0.06047037	
0.1248	-0.04601583	-0.06047044	
0.125	-0.04600153	-0.06047058	
0.1252	-0.0459872	-0.0604708	
0.1254	-0.04597286	-0.06047111	
0.1256	-0.0459585	-0.0604715	
0.1258	-0.04594412	-0.06047196	
0.126	-0.04592972	-0.0604725	
0.1262	-0.04591531	-0.06047311	
0.1264	-0.04590089	-0.06047379	
0.1266	-0.04588645	-0.06047454	
0.1268	-0.04587199	-0.06047537	
0.127	-0.04585753	-0.06047626	
0.1272	-0.04584305	-0.06047722	
0.1274	-0.04582857	-0.06047825	
0.1276	-0.04581407	-0.06047934	
0.1278	-0.04579957	-0.06048049	
0.128	-0.04578506	-0.06048171	
0.1282	-0.04577054	-0.06048298	
0.1284	-0.04575602	-0.06048432	
0.1286	-0.04574149	-0.06048571	
0.1288	-0.04572696	-0.06048716	
0.129	-0.04571243	-0.06048867	
0.1292	-0.04569789	-0.06049023	
0.1294	-0.04568335	-0.06049185	
0.1296	-0.04566881	-0.06049351	
0.1298	-0.04565427	-0.06049523	
0.13	-0.04563972	-0.06049699	
0.1302	-0.04562518	-0.06049881	
0.1304	-0.04561064	-0.06050067	
0.1306	-0.0455961	-0.06050258	
0.1308	-0.04558156	-0.06050454	
0.131	-0.04556703	-0.06050653	
0.1312	-0.0455525	-0.06050858	
0.1314	-0.04553797	-0.06051067	
0.1316	-0.04552345	-0.06051279	
0.1318	-0.04550893	-0.06051496	
0.132	-0.04549441	-0.06051716	
0.1322	-0.04547991	-0.06051941	
0.1324	-0.04546541	-0.06052169	
0.1326	-0.04545092	-0.06052401	
0.1328	-0.04543643	-0.06052636	
0.133	-0.04542196	-0.06052875	
0.1332	-0.04540749	-0.06053117	
0.1334	-0.04539303	-0.06053363	
0.1336	-0.04537858	-0.06053612	
0.1338	-0.04536414	-0.06053863	
0.134	-0.04534971	-0.06054118	
0.1342	-0.04533529	-0.06054376	
0.1344	-0.04532088	-0.06054637	
0.1346	-0.04530649	-0.060549	
0.1348	-0.04529211	-0.06055167	
0.135	-0.04527773	-0.06055436	
0.1352	-0.04526337	-0.06055707	
0.1354	-0.04524903	-0.06055981	
0.1356	-0.04523469	-0.06056257	
0.1358	-0.04522037	-0.06056536	
0.136	-0.04520607	-0.06056817	
0.1362	-0.04519177	-0.060571	
0.1364	-0.0451775	-0.06057385	
0.1366	-0.04516323	-0.06057672	
0.1368	-0.04514899	-0.06057962	
0.137	-0.04513476	-0.06058253	
0.1372	-0.04512054	-0.06058546	
0.1374	-0.04510634	-0.06058841	
0.1376	-0.04509216	-0.06059138	
0.1378	-0.04507799	-0.06059436	
0.138	-0.04506384	-0.06059736	
0.1382	-0.04504971	-0.06060038	
0.1384	-0.04503559	-0.06060341	
0.1386	-0.0450215	-0.06060645	
0.1388	-0.04500742	-0.06060951	
0.139	-0.04499336	-0.06061259	
0.1392	-0.04497932	-0.06061567	
0.1394	-0.04496529	-0.06061877	
0.1396	-0.04495129	-0.06062188	
0.1398	-0.0449373	-0.060625	
